Date,Open,Close,High,Low,Volume
2024-06-06,71116.30,70773.64,71651.00,70093.98,9799.95
2024-06-07,70752.10,69394.00,71974.04,68298.55,18017.68
2024-06-08,69317.10,69304.05,69618.00,69126.22,3361.94
2024-06-09,69291.50,69649.90,69848.94,69101.00,2732.34
2024-06-10,69649.90,69497.73,70187.53,69141.51,7800.33
2024-06-11,69522.20,67316.53,69558.70,66018.69,21178.76
2024-06-12,67330.00,68248.60,70037.00,66883.32,20072.12
2024-06-13,68248.59,66756.50,68474.49,66200.00,13688.23
2024-06-14,66776.00,66004.39,67370.00,65005.00,14036.65
2024-06-15,65992.10,66192.00,66442.00,65794.70,2596.39
2024-06-16,66198.10,66628.75,66947.00,65999.00,2936.76
2024-06-17,66630.00,66481.81,67302.00,65050.00,16345.44
2024-06-18,66487.70,65152.80,66623.00,64010.01,19988.97
2024-06-19,65169.70,64943.79,65820.00,64635.48,6315.24
2024-06-20,64949.10,64841.46,66585.00,64500.00,11796.05
2024-06-21,64833.30,64087.90,65196.00,63300.93,12112.13
2024-06-22,64088.00,64235.01,64613.00,63910.01,3181.75
2024-06-23,64253.00,63171.43,64618.00,63125.75,3176.96
2024-06-24,63169.24,60263.00,63461.00,58414.28,28056.31
2024-06-25,60297.10,61789.71,62470.00,60217.36,18289.52
2024-06-26,61794.10,60815.10,62558.00,60656.80,13088.54
2024-06-27,60815.20,61615.39,62499.00,60546.94,12724.38
2024-06-28,61617.10,60313.35,62295.00,59868.00,13141.52
2024-06-29,60319.60,60860.00,61352.00,60273.80,4492.24
2024-06-30,60860.00,62668.26,63131.00,60611.01,5696.33
2024-07-01,62680.40,62830.13,63911.00,62448.46,14426.16
2024-07-02,62830.94,62039.45,63331.00,61000.00,12224.29
2024-07-03,62020.00,60145.01,62386.00,59332.76,14682.35
2024-07-04,60146.60,57036.40,60550.00,56709.73,23071.23
2024-07-05,57031.40,56639.43,57615.00,53219.00,35152.89
2024-07-06,56650.10,58244.75,58538.00,56020.32,8930.48
2024-07-07,58234.90,55854.09,58563.00,55717.23,7225.66
