Date,Open,Close,High,Low,Volume
2024-06-06,3866.36,3812.09,3879.15,3758.19,63893.49
2024-06-07,3811.83,3676.69,3842.00,3574.89,131557.20
2024-06-08,3676.88,3680.84,3711.70,3657.39,34819.79
2024-06-09,3680.21,3706.26,3721.80,3665.53,24232.62
2024-06-10,3705.80,3665.86,3712.60,3640.00,53281.07
2024-06-11,3665.86,3497.31,3671.50,3381.00,170797.35
2024-06-12,3497.02,3559.14,3657.05,3461.52,122122.70
2024-06-13,3559.14,3467.65,3562.00,3425.87,122337.72
2024-06-14,3468.90,3479.53,3530.80,3360.62,121258.12
2024-06-15,3480.11,3566.69,3593.60,3470.96,67364.21
2024-06-16,3564.36,3622.10,3652.50,3538.74,49916.36
2024-06-17,3620.93,3509.81,3640.00,3463.38,131845.46
2024-06-18,3511.23,3482.06,3517.60,3350.00,155610.97
2024-06-19,3482.12,3559.14,3591.70,3464.44,129158.57
2024-06-20,3557.63,3510.73,3628.60,3482.61,124964.42
2024-06-21,3511.96,3517.19,3551.50,3443.90,123119.79
2024-06-22,3517.08,3494.09,3526.70,3473.78,36822.73
2024-06-23,3494.48,3418.42,3525.00,3405.07,49562.47
2024-06-24,3418.35,3350.59,3437.40,3230.00,197258.00
2024-06-25,3350.82,3393.60,3431.90,3334.79,118435.28
2024-06-26,3394.93,3369.31,3428.90,3323.00,95800.37
2024-06-27,3367.67,3445.58,3482.00,3359.23,92354.71
2024-06-28,3445.40,3373.62,3492.50,3360.01,112393.59
2024-06-29,3374.23,3373.26,3412.40,3366.21,27543.06
2024-06-30,3372.93,3432.37,3462.60,3347.21,38685.63
2024-07-01,3432.23,3438.36,3526.70,3420.50,72629.56
2024-07-02,3438.32,3416.17,3466.00,3396.76,51220.80
2024-07-03,3415.81,3291.74,3435.60,3248.00,103048.35
2024-07-04,3292.89,3058.89,3315.80,3050.00,150019.72
2024-07-05,3062.90,2981.74,3111.30,2809.41,289692.76
2024-07-06,2981.79,3067.39,3085.10,2955.67,61296.38
2024-07-07,3067.56,2930.78,3079.20,2921.13,58678.39
